timestamp_ms,cpu_time_s,ram_kb
1753773476015,0.000,8.00
1753773476016,0.000,8.00
1753773476018,0.000,8.00
1753773476019,0.000,8.00
1753773476020,0.000,8.00
1753773476021,0.000,8.00
1753773476023,0.000,8.00
1753773476024,0.010,8.00
1753773476025,0.010,8.00
1753773476026,0.010,8.00
1753773476028,0.010,8.00
1753773476029,0.010,8.00
1753773476030,0.010,8.00
1753773476031,0.010,8.00
1753773476032,0.020,8.00
1753773476034,0.020,8.00
1753773476035,0.020,8.00
1753773476036,0.020,8.00
1753773476037,0.020,8.00
1753773476039,0.020,8.00
1753773476040,0.020,8.00
1753773476041,0.020,8.00
1753773476042,0.030,8.00
1753773476044,0.030,8.00
1753773476045,0.030,8.00
1753773476046,0.030,8.00
1753773476047,0.030,8.00
1753773476048,0.030,8.00
1753773476050,0.030,8.00
1753773476051,0.030,8.00
1753773476052,0.040,8.00
1753773476053,0.040,8.00
1753773476054,0.050,8.00
1753773476055,0.050,8.00
1753773476057,0.050,8.00
1753773476058,0.050,8.00
1753773476059,0.050,8.00
1753773476060,0.050,8.00
1753773476061,0.050,8.00
1753773476062,0.050,8.00
1753773476063,0.060,8.00
1753773476064,0.060,8.00
1753773476066,0.060,8.00
1753773476067,0.060,8.00
1753773476068,0.060,8.00
1753773476069,0.060,8.00
1753773476070,0.060,8.00
1753773476071,0.060,8.00
1753773476072,0.060,8.00
1753773476073,0.070,8.00
1753773476074,0.070,8.00
1753773476076,0.070,8.00
1753773476077,0.070,8.00
1753773476078,0.070,8.00
1753773476079,0.070,8.00
1753773476080,0.070,8.00
1753773476081,0.070,8.00
